tour length, time taken in seconds, number of nodes expanded, path
2430.4857256816717, 0.004, 25, 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 16 -> 10 -> 9 -> 7 -> 8 -> 18 -> 11 -> 12 -> 24 -> 14 -> 22 -> 19 -> 23 -> 21 -> 13 -> 17 -> 20 -> 15 -> 0
1328.336309804962, 3.661, 25, 0 -> 1 -> 3 -> 22 -> 24 -> 2 -> 6 -> 12 -> 9 -> 4 -> 16 -> 20 -> 10 -> 15 -> 7 -> 23 -> 13 -> 18 -> 8 -> 14 -> 19 -> 11 -> 17 -> 5 -> 21 -> 0
2242.9938637421924, 0.008, 25, 0 -> 1 -> 20 -> 5 -> 4 -> 6 -> 12 -> 7 -> 3 -> 2 -> 10 -> 8 -> 13 -> 15 -> 23 -> 21 -> 19 -> 22 -> 9 -> 24 -> 16 -> 17 -> 11 -> 14 -> 18 -> 0
1317.0486540674603, 5.332, 25, 0 -> 1 -> 10 -> 7 -> 12 -> 8 -> 9 -> 19 -> 4 -> 16 -> 24 -> 22 -> 15 -> 23 -> 14 -> 18 -> 13 -> 2 -> 21 -> 6 -> 5 -> 20 -> 17 -> 3 -> 11 -> 0
2274.5600322320333, 0.083, 25, 0 -> 1 -> 2 -> 11 -> 3 -> 12 -> 8 -> 23 -> 5 -> 4 -> 9 -> 13 -> 15 -> 6 -> 24 -> 20 -> 21 -> 16 -> 10 -> 22 -> 17 -> 18 -> 19 -> 7 -> 14 -> 0
1441.89429826582, 6.745, 25, 0 -> 3 -> 6 -> 13 -> 23 -> 21 -> 24 -> 10 -> 15 -> 11 -> 22 -> 19 -> 20 -> 17 -> 9 -> 4 -> 18 -> 7 -> 12 -> 16 -> 8 -> 1 -> 5 -> 2 -> 14 -> 0
2254.554033409187, 0.019, 25, 0 -> 1 -> 2 -> 18 -> 6 -> 3 -> 10 -> 8 -> 11 -> 4 -> 5 -> 14 -> 7 -> 22 -> 17 -> 21 -> 24 -> 23 -> 19 -> 16 -> 20 -> 15 -> 9 -> 12 -> 13 -> 0
1423.510211730076, 43.763, 25, 0 -> 1 -> 21 -> 18 -> 6 -> 16 -> 11 -> 15 -> 23 -> 2 -> 9 -> 19 -> 14 -> 7 -> 10 -> 24 -> 22 -> 4 -> 20 -> 13 -> 8 -> 12 -> 5 -> 17 -> 3 -> 0
2265.620121481412, 0.043, 25, 0 -> 1 -> 10 -> 5 -> 7 -> 3 -> 6 -> 4 -> 8 -> 9 -> 12 -> 16 -> 17 -> 19 -> 13 -> 23 -> 14 -> 22 -> 21 -> 24 -> 18 -> 15 -> 11 -> 20 -> 2 -> 0
1313.0909670809153, 3.059, 25, 0 -> 1 -> 2 -> 10 -> 17 -> 24 -> 23 -> 6 -> 12 -> 21 -> 11 -> 18 -> 14 -> 13 -> 22 -> 4 -> 20 -> 9 -> 16 -> 7 -> 3 -> 19 -> 8 -> 5 -> 15 -> 0
4541.317383718083, 0.46, 50, 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 7 -> 38 -> 11 -> 14 -> 8 -> 16 -> 15 -> 12 -> 17 -> 18 -> 49 -> 27 -> 13 -> 21 -> 19 -> 9 -> 20 -> 10 -> 28 -> 22 -> 47 -> 33 -> 25 -> 31 -> 23 -> 24 -> 48 -> 40 -> 29 -> 34 -> 30 -> 46 -> 44 -> 42 -> 43 -> 41 -> 45 -> 39 -> 36 -> 37 -> 26 -> 35 -> 32 -> 0
, timeout, 46,
4395.075617123428, 0.204, 50, 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 45 -> 9 -> 12 -> 13 -> 10 -> 8 -> 15 -> 7 -> 20 -> 14 -> 17 -> 18 -> 21 -> 19 -> 22 -> 23 -> 16 -> 26 -> 27 -> 32 -> 34 -> 49 -> 25 -> 24 -> 31 -> 28 -> 35 -> 30 -> 44 -> 46 -> 33 -> 41 -> 42 -> 48 -> 47 -> 39 -> 43 -> 37 -> 40 -> 36 -> 29 -> 11 -> 38 -> 0
, timeout, 39,
4454.004381642271, 1.023, 50, 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 41 -> 6 -> 9 -> 12 -> 8 -> 7 -> 19 -> 11 -> 17 -> 10 -> 21 -> 13 -> 48 -> 24 -> 20 -> 25 -> 26 -> 16 -> 23 -> 34 -> 15 -> 18 -> 31 -> 14 -> 30 -> 37 -> 28 -> 38 -> 33 -> 47 -> 29 -> 36 -> 46 -> 22 -> 45 -> 43 -> 39 -> 44 -> 42 -> 40 -> 32 -> 35 -> 27 -> 49 -> 0
, timeout, 41,
4437.513634256575, 51.327, 50, 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 7 -> 49 -> 9 -> 10 -> 11 -> 15 -> 13 -> 17 -> 18 -> 14 -> 22 -> 20 -> 48 -> 24 -> 16 -> 47 -> 12 -> 25 -> 23 -> 8 -> 46 -> 26 -> 28 -> 27 -> 30 -> 21 -> 19 -> 29 -> 44 -> 34 -> 45 -> 33 -> 42 -> 43 -> 41 -> 38 -> 37 -> 40 -> 35 -> 32 -> 31 -> 39 -> 36 -> 0
, timeout, 39,
4415.0073890395315, 14.75, 50, 0 -> 1 -> 2 -> 39 -> 6 -> 4 -> 7 -> 12 -> 5 -> 14 -> 9 -> 8 -> 13 -> 16 -> 15 -> 20 -> 17 -> 10 -> 19 -> 23 -> 11 -> 46 -> 24 -> 25 -> 18 -> 3 -> 26 -> 21 -> 30 -> 31 -> 27 -> 36 -> 40 -> 34 -> 33 -> 35 -> 49 -> 48 -> 42 -> 47 -> 38 -> 45 -> 43 -> 32 -> 22 -> 44 -> 29 -> 37 -> 28 -> 41 -> 0
, timeout, 45
